perturb_type,level,pid,dice,seed,commit
scale,0.80,240,0.812474,42,9d844b58
scale,0.80,241,0.753131,42,9d844b58
scale,0.80,242,0.683411,42,9d844b58
scale,0.80,243,0.784297,42,9d844b58
scale,0.80,244,0.852509,42,9d844b58
scale,0.80,245,0.819837,42,9d844b58
scale,0.80,246,0.839741,42,9d844b58
scale,0.80,247,0.672961,42,9d844b58
scale,0.80,248,0.67413,42,9d844b58
scale,0.80,249,0.808674,42,9d844b58
scale,0.80,250,0.852623,42,9d844b58
scale,0.80,251,0.800908,42,9d844b58
scale,0.80,252,0.786986,42,9d844b58
scale,0.80,253,0.759775,42,9d844b58
scale,0.80,254,0.807762,42,9d844b58
scale,0.80,255,0.764371,42,9d844b58
scale,0.80,256,0.720079,42,9d844b58
scale,0.80,257,0.735929,42,9d844b58
scale,0.80,258,0.80641,42,9d844b58
scale,0.80,259,0.809632,42,9d844b58
scale,0.90,182,0.785272,42,9d844b58
scale,0.90,183,0.835391,42,9d844b58
scale,0.90,184,0.682855,42,9d844b58
scale,0.90,185,0.835528,42,9d844b58
scale,0.90,186,0.853225,42,9d844b58
scale,0.90,187,0.850459,42,9d844b58
scale,0.90,188,0.76616,42,9d844b58
scale,0.90,189,0.654907,42,9d844b58
scale,0.90,190,0.834162,42,9d844b58
scale,0.90,191,0.802521,42,9d844b58
scale,0.90,192,0.848163,42,9d844b58
scale,0.90,193,0.807221,42,9d844b58
scale,0.90,194,0.755819,42,9d844b58
scale,0.90,195,0.775757,42,9d844b58
scale,0.90,196,0.722893,42,9d844b58
scale,0.90,197,0.886357,42,9d844b58
scale,0.90,198,0.746661,42,9d844b58
scale,0.90,199,0.745709,42,9d844b58
scale,0.90,200,0.856846,42,9d844b58
scale,0.90,201,0.837367,42,9d844b58
scale,0.90,202,0.797428,42,9d844b58
scale,0.90,203,0.807473,42,9d844b58
scale,0.90,204,0.805618,42,9d844b58
scale,0.90,205,0.843112,42,9d844b58
scale,0.90,206,0.85224,42,9d844b58
scale,0.90,207,0.755139,42,9d844b58
scale,0.90,208,0.823458,42,9d844b58
scale,0.90,209,0.772983,42,9d844b58
scale,0.90,210,0.782049,42,9d844b58
scale,0.90,211,0.825381,42,9d844b58
scale,0.90,212,0.800192,42,9d844b58
scale,0.90,213,0.713742,42,9d844b58
scale,0.90,214,0.637016,42,9d844b58
scale,0.90,215,0.824962,42,9d844b58
scale,0.90,216,0.831762,42,9d844b58
scale,0.90,217,0.767324,42,9d844b58
scale,0.90,218,0.762601,42,9d844b58
scale,0.90,219,0.777723,42,9d844b58
scale,0.90,220,0.737573,42,9d844b58
scale,0.90,221,0.867337,42,9d844b58
scale,0.90,222,0.856425,42,9d844b58
