bb_idx,MT_Neoag
1062,13.16998
1063,13.16998
1064,13.16998
1065,13.16998
1066,13.16998
1067,13.16998
1068,13.16998
1069,13.16998
1070,13.16998
1071,13.16998
1072,13.16998
1073,13.16998
1074,13.16998
1075,13.16998
1076,13.16998
1077,13.16998
1078,13.16998
1079,13.16998
1080,54.97577
1081,54.97577
1082,54.97577
1083,54.97577
1084,54.97577
1085,54.97577
1086,54.97577
1087,54.97577
1088,54.97577
1089,54.97577
1090,54.97577
1091,54.97577
1092,71.943134
1093,71.943134
1094,71.943134
1095,71.943134
1096,71.943134
1097,71.943134
1098,71.943134
1099,71.943134
1100,71.943134
1101,71.943134
1102,71.943134
1103,71.943134
1104,54.97577
1105,54.97577
1106,54.97577
1107,54.97577
1108,54.97577
1109,54.97577
1110,71.943134
1111,71.943134
1112,71.943134
1113,13.16998
1114,13.16998
1115,13.16998
1116,13.16998
1117,13.16998
1118,13.16998
1119,13.16998
1120,13.16998
1121,13.16998
1122,13.16998
1123,13.16998
1124,13.16998
1125,13.16998
1126,13.16998
1127,13.16998
1128,13.16998
1129,13.16998
1130,13.16998
1131,13.16998
1132,13.16998
1133,13.16998
1134,13.16998
1135,13.16998
1136,13.16998
1137,13.16998
1138,13.16998
1139,13.16998
1140,13.16998
1141,13.16998
1142,13.16998
1143,13.16998
1144,13.16998
1145,13.16998
1146,13.16998
1147,13.16998
1148,13.16998
1149,13.16998
1150,13.16998
1151,13.16998
1152,1.933884
1153,1.933884
1154,1.933884
1155,22.440171
1156,22.440171
1157,22.440171
1158,22.440171
1159,22.440171
1160,22.440171
1161,37.532123
1162,37.532123
1163,37.532123
1164,1.933884
1165,1.933884
1166,1.933884
1167,1.933884
1168,1.933884
1169,1.933884
1170,1.933884
1171,1.933884
1172,1.933884
1173,1.933884
1174,1.933884
1175,1.933884
1176,13.16998
1177,13.16998
1178,13.16998
1179,13.16998
1180,13.16998
1181,13.16998
1182,13.16998
1183,13.16998
1184,13.16998
1185,13.16998
1186,13.16998
1187,13.16998
1188,13.16998
1189,13.16998
1190,13.16998
1191,13.16998
1192,13.16998
1193,13.16998
1194,13.16998
1195,13.16998
1196,13.16998
1197,13.16998
1198,13.16998
1199,13.16998
1200,54.97577
1201,54.97577
1202,54.97577
1203,54.97577
1204,54.97577
1205,54.97577
1206,71.943134
1207,71.943134
1208,71.943134
1209,13.16998
1210,13.16998
1211,13.16998
1212,13.16998
1213,13.16998
1214,13.16998
1215,13.16998
1216,13.16998
1217,13.16998
1218,13.16998
1219,13.16998
1220,13.16998
1221,13.16998
1222,13.16998
1223,13.16998
1224,34.773693
1225,34.773693
1226,34.773693
1227,34.773693
1228,34.773693
1229,34.773693
1230,34.773693
1231,34.773693
1232,34.773693
1233,34.773693
1234,34.773693
1235,34.773693
1236,34.773693
1237,34.773693
1238,34.773693
1239,34.773693
1240,34.773693
1241,34.773693
1242,71.789602
1243,71.789602
1244,71.789602
1245,71.789602
1246,71.789602
1247,71.789602
1248,54.97577
1249,54.97577
1250,54.97577
1251,71.943134
1252,71.943134
1253,71.943134
1254,13.16998
1255,13.16998
1256,13.16998
1257,13.16998
1258,13.16998
1259,13.16998
1260,13.16998
1261,13.16998
1262,13.16998
1263,13.16998
1264,13.16998
1265,13.16998
1266,13.16998
1267,13.16998
1268,13.16998
1269,13.16998
1270,13.16998
1271,13.16998
1272,34.773693
1273,34.773693
1274,34.773693
1275,34.773693
1276,34.773693
1277,34.773693
1278,34.773693
1279,34.773693
1280,34.773693
1281,34.773693
1282,34.773693
1283,34.773693
1284,34.773693
1285,34.773693
1286,34.773693
1287,34.773693
1288,34.773693
1289,34.773693
1290,34.773693
1291,34.773693
1292,34.773693
1293,34.773693
1294,34.773693
1295,34.773693
1296,61.117504
1297,61.117504
1298,61.117504
1299,61.117504
1300,61.117504
1301,61.117504
1302,61.117504
1303,61.117504
1304,61.117504
1305,61.117504
1306,61.117504
1307,61.117504
1308,100.354785
1309,100.354785
1310,100.354785
1311,61.117504
1312,61.117504
1313,61.117504
1314,61.117504
1315,61.117504
1316,61.117504
1317,61.117504
1318,61.117504
1319,61.117504
1320,1.933884
1321,1.933884
1322,1.933884
1323,22.440171
1324,22.440171
1325,22.440171
1326,22.440171
1327,22.440171
1328,22.440171
1329,37.532123
1330,37.532123
1331,37.532123
1332,1.933884
1333,1.933884
1334,1.933884
1335,1.933884
1336,1.933884
1337,1.933884
1338,1.933884
1339,1.933884
1340,1.933884
1341,1.933884
1342,1.933884
1343,1.933884
1344,125.082993
1345,125.082993
1346,125.082993
1347,125.082993
1348,125.082993
1349,125.082993
1350,142.385411
1351,142.385411
1352,142.385411
1353,34.773693
1354,34.773693
1355,34.773693
1356,34.773693
1357,34.773693
1358,34.773693
1359,34.773693
1360,34.773693
1361,34.773693
1362,34.773693
1363,34.773693
1364,34.773693
1365,34.773693
