bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
689,0.3249523,0.2814564
690,0.712615,0.78550565
691,0.4826895,0.53126585
692,0.75755644,0.7379139
693,0.99831426,0.99881303
694,0.9735355,0.97951245
695,0.8391438,0.8291304
696,0.8060639,0.78855866
697,0.35172498,0.37923735
698,0.62778395,0.73491305
699,0.92617446,0.93562984
700,0.95043457,0.95406044
701,0.3832726,0.42352995
702,0.6034899,0.5928585
703,0.41100413,0.44091862
704,0.9752233,0.98736453
705,0.9731327,0.9784918
706,0.98656875,0.9863303
707,0.6664955,0.7166124
708,0.76762974,0.6724132
709,0.8795619,0.7733551
710,0.8416332,0.7944634
711,0.9867041,0.9924731
712,0.9772363,0.96413726
713,0.86396873,0.6919298
714,0.98863184,0.9964807
715,0.9839809,0.9922446
716,0.9659115,0.9857837
717,0.9996596,0.99967444
718,0.9960728,0.9930234
719,0.99815494,0.99924815
720,0.8004203,0.79371303
721,0.6522721,0.6924005
722,0.5719094,0.6460814
723,0.99919033,0.9883143
724,0.99780333,0.9990721
725,0.9221148,0.79220486
726,0.7326282,0.6711279
727,0.88033783,0.8123043
728,0.8700471,0.8352449
729,0.97916806,0.9376273
730,0.9972576,0.9752089
731,0.7457518,0.3790687
732,0.95072997,0.90198433
733,0.7120789,0.46750566
734,0.98796546,0.8870541
735,0.9967122,0.9880574
736,0.9990437,0.96329004
737,0.8827017,0.60643137
738,0.79041255,0.6981403
739,0.62165654,0.50149304
740,0.9988011,0.9815835
741,0.960655,0.925176
742,0.99808586,0.98922575
743,0.60958755,0.49831334
744,0.43573666,0.30333328
745,0.79336,0.7039697
746,0.9258939,0.5690457
747,0.9654747,0.94302833
748,0.999471,0.99832916
749,0.8739121,0.7763801
750,0.36469984,0.6188167
751,0.9840181,0.7579676
752,0.3964088,0.05918628
753,0.8933351,0.8351679
754,0.9960421,0.99205494
755,0.6601842,0.54190594
756,0.55443406,0.91399455
757,0.5594938,0.828044
758,0.6621281,0.8350402
759,0.931355,0.9780843
760,0.99897856,0.9997401
761,0.93592316,0.9137891
762,0.044300795,0.32757294
763,0.47754022,0.25784045
764,0.8453812,0.8572802
765,0.52002704,0.7572862
766,0.87577,0.9137748
767,0.30166265,0.38257486
768,0.36282134,0.5513698
769,0.5397077,0.65241677
770,0.32322973,0.8239231
771,0.9764053,0.9798692
772,0.99956894,0.99564296
773,0.66804016,0.7917255
774,0.12868634,0.2900356
775,0.99605465,0.99812627
776,0.5401083,0.5148364
777,0.78190154,0.8384595
778,0.97116804,0.98779964
779,0.12305373,0.25746185
780,0.67049026,0.81987023
781,0.7069625,0.7452792
782,0.9907057,0.98833144
783,0.765543,0.8719009
784,0.9961925,0.99802375
785,0.65103686,0.7331496
786,0.4768955,0.7408805
787,0.72934896,0.6951277
788,0.97259825,0.96041155
789,0.6615417,0.90586543
790,0.92594874,0.98714817
791,0.45115998,0.5610658
792,0.033783674,0.22376692
793,0.37362474,0.475539
794,0.7097081,0.6542763
795,0.5850117,0.9235456
796,0.8708647,0.98563707
797,0.15168718,0.32322973
798,0.05168447,0.36551213
799,0.9067658,0.8916614
800,0.6976618,0.82039726
801,0.69688773,0.87745816
802,0.9462312,0.9498072
803,0.52571565,0.5128945
804,0.06864199,0.3846404
805,0.92578936,0.8738377
806,0.8550816,0.8729752
807,0.9012391,0.9987461
808,0.9730239,0.9925897
809,0.6892926,0.83423936
810,0.124542445,0.53569746
811,0.8699962,0.71578205
812,0.8254999,0.9902215
813,0.76750743,0.8890001
814,0.9742837,0.99809957
815,0.48896196,0.5553601
816,0.99669266,0.99423623
817,0.9662049,0.99135447
818,0.8367529,0.8518534
819,0.99337333,0.98842967
820,0.9999654,0.9999566
821,0.96620953,0.976419
822,0.99678934,0.99278873
823,0.9716401,0.9286731
824,0.9880987,0.9899369
825,0.99966383,0.99800813
826,0.9991648,0.9994236
827,0.9966078,0.98319006
828,0.9897933,0.97511697
829,0.90414584,0.6987735
830,0.9994265,0.99971354
831,0.99011874,0.96968925
832,0.99996907,0.9998816
833,0.97104955,0.86417675
834,0.9472736,0.8306875
835,0.9742888,0.9855466
836,0.96254706,0.99206674
837,0.96617514,0.8271815
838,0.99728006,0.99227905
839,0.96208906,0.918293
840,0.62368006,0.4661273
841,0.55336213,0.380493
842,0.6469901,0.7638774
843,0.9627018,0.7878319
844,0.99130857,0.9690331
