bb_idx,MT_Seq2Neo,WT_Seq2Neo
1068,0.660906,0.663256
1069,0.678383,0.654404
1070,0.827302,0.811859
1071,0.803306,0.796996
1072,0.916076,0.888651
1073,0.911,0.883457
1074,0.533364,0.730106
1075,0.693462,0.739662
1076,0.832226,0.863206
1077,0.790262,0.834916
1078,0.913105,0.926844
1079,0.91329,0.923037
1080,0.558495,0.681203
1081,0.560197,0.67654
1082,0.733251,0.807223
1083,0.728582,0.798037
1084,0.823152,0.885078
1085,0.828329,0.885634
1086,0.540731,0.582868
1087,0.667293,0.625816
1088,0.802289,0.759864
1089,0.775805,0.743521
1090,0.879666,0.818914
1091,0.878814,0.809652
1092,0.558443,0.678958
1093,0.80259,0.781677
1094,0.871507,0.849894
1095,0.842176,0.831965
1096,0.95121,0.929743
1097,0.945583,0.922638
1098,0.728897,0.758283
1099,0.800587,0.812164
1100,0.880983,0.893582
1101,0.870939,0.881739
1102,0.955497,0.959025
1103,0.947018,0.950935
1104,0.641966,0.701658
1105,0.862063,0.868892
1106,0.917411,0.924661
1107,0.325557,0.344266
1108,0.812854,0.822648
1109,0.896377,0.912661
1110,0.113509,0.128812
1111,0.652559,0.747999
1112,0.854946,0.890738
1113,0.108599,0.121422
1114,0.737464,0.77488
1115,0.905699,0.923022
1116,0.641589,0.630392
1117,0.903291,0.907446
1118,0.953864,0.952311
1119,0.361778,0.304847
1120,0.885416,0.872625
1121,0.946275,0.941238
1122,0.571352,0.48948
1123,0.854859,0.815995
1124,0.926868,0.913082
1125,0.47837,0.40631
1126,0.864295,0.861692
1127,0.937051,0.938551
1128,0.256988,0.392557
1129,0.802776,0.775854
1130,0.878643,0.837401
1131,0.378118,0.641854
1132,0.859058,0.845185
1133,0.909777,0.902013
1134,0.417541,0.730051
1135,0.85639,0.892403
1136,0.920756,0.942603
1137,0.669847,0.615827
1138,0.875929,0.858341
1139,0.937762,0.923652
1140,0.594768,0.679106
