bb_idx,MT_ICERFIRE
664,0.157398
665,0.157398
666,0.162528
667,0.157739
668,0.182662
669,0.190326
670,0.18504
671,0.18504
672,0.177485
673,0.194625
674,0.202587
675,0.21419
676,0.234583
677,0.234583
678,0.231426
679,0.207438
680,0.227023
681,0.238664
682,0.221739
683,0.221739
684,0.222874
685,0.182858
686,0.215387
687,0.236886
688,0.199851
689,0.199851
690,0.184058
691,0.172895
692,0.150592
693,0.192678
694,0.180853
695,0.180853
696,0.182975
697,0.173243
698,0.193759
699,0.191683
700,0.184008
701,0.184008
702,0.146977
703,0.140986
704,0.172869
705,0.173636
706,0.174409
707,0.174409
708,0.164745
709,0.140097
710,0.13775
711,0.16432
712,0.139105
713,0.139105
714,0.171275
715,0.140599
716,0.161166
717,0.170814
718,0.138616
719,0.138722
720,0.132402
721,0.156315
722,0.147201
723,0.154441
724,0.174244
725,0.174244
726,0.151405
727,0.144663
728,0.164154
729,0.161989
730,0.156492
731,0.156492
732,0.148065
733,0.136316
734,0.142611
735,0.155049
736,0.144311
737,0.144311
738,0.174193
739,0.168117
740,0.174193
741,0.172163
742,0.165792
743,0.165792
744,0.144922
745,0.138341
746,0.160356
747,0.156735
748,0.15158
749,0.151736
750,0.130443
751,0.127441
752,0.11483
753,0.129603
754,0.130443
755,0.130443
756,0.130058
757,0.110172
758,0.139746
759,0.127234
760,0.100928
761,0.101198
762,0.090686
763,0.097072
764,0.091984
765,0.104019
766,0.10792
767,0.107902
768,0.163037
769,0.155456
770,0.189241
771,0.194356
772,0.189241
773,0.189241
774,0.122694
775,0.121727
776,0.138633
777,0.139305
778,0.15919
779,0.15919
780,0.161714
781,0.138548
782,0.160764
783,0.160764
784,0.138073
785,0.138073
786,0.155623
787,0.137741
788,0.155233
789,0.155623
790,0.137741
791,0.137741
792,0.129458
793,0.122133
794,0.129458
795,0.130606
796,0.123295
797,0.123295
798,0.114798
799,0.108071
800,0.116202
801,0.115979
802,0.114798
803,0.114798
804,0.113777
805,0.107939
806,0.130423
807,0.120126
808,0.113777
809,0.113777
810,0.102264
811,0.100086
812,0.118036
813,0.107987
814,0.105212
815,0.105212
816,0.192352
817,0.195954
818,0.20448
819,0.19818
820,0.202545
821,0.202545
822,0.207917
823,0.196853
824,0.212645
825,0.216673
826,0.207917
827,0.207917
828,0.194222
829,0.194181
830,0.141935
831,0.193366
832,0.192798
833,0.192798
834,0.18832
835,0.188516
836,0.17908
837,0.196327
838,0.191148
839,0.191148
840,0.124223
841,0.123261
842,0.189929
843,0.18726
844,0.189461
845,0.189461
846,0.129454
847,0.120104
848,0.142804
849,0.14129
850,0.132205
851,0.132205
852,0.179606
853,0.137043
854,0.171148
855,0.171959
856,0.12894
857,0.12894
858,0.190459
859,0.164455
860,0.19751
861,0.196156
862,0.171897
863,0.171897
864,0.144164
865,0.150385
866,0.139331
867,0.140803
868,0.14672
869,0.140863
870,0.179939
871,0.171701
872,0.146976
873,0.179822
874,0.171451
875,0.171451
876,0.167938
877,0.167293
878,0.177617
879,0.168449
880,0.168944
881,0.168944
882,0.1403
883,0.139176
884,0.149927
885,0.169408
886,0.168228
887,0.168228
888,0.138773
889,0.138922
890,0.138773
891,0.138773
892,0.138922
893,0.138922
894,0.148682
895,0.121365
896,0.163874
897,0.164531
898,0.130788
899,0.130788
900,0.115441
901,0.115257
902,0.115441
903,0.115441
904,0.115441
905,0.115441
906,0.125121
907,0.119206
908,0.122799
