sev,target,qbar_route,correct_deg,correct_enh,qband
mild,0,0.5711641311645508,1,1,high
mild,0,0.6186581254005432,1,1,high
mild,0,0.592251181602478,1,1,high
mild,0,0.49633875489234924,1,1,low
mild,0,0.560154139995575,1,1,high
mild,0,0.5368511080741882,1,1,mid
mild,0,0.557210385799408,0,1,high
mild,0,0.5464500784873962,1,1,mid
mild,0,0.5202940106391907,1,1,mid
mild,0,0.520574688911438,1,1,mid
mild,0,0.5180331468582153,0,1,mid
mild,0,0.5189182162284851,1,1,mid
mild,0,0.5346089601516724,0,1,mid
mild,0,0.538583517074585,1,1,mid
mild,0,0.513289749622345,1,1,mid
mild,0,0.49555522203445435,1,1,low
mild,0,0.5962597131729126,1,1,high
mild,0,0.5860953330993652,0,1,high
mild,0,0.5771465301513672,0,1,high
mild,0,0.5234436392784119,1,1,mid
mild,0,0.5218519568443298,0,0,mid
mild,0,0.5033640265464783,1,1,mid
mild,0,0.5710644125938416,1,1,high
mild,0,0.5818584561347961,1,1,high
mild,0,0.5888854265213013,1,1,high
mild,0,0.5066533088684082,1,1,mid
mild,0,0.7470890283584595,1,1,high
mild,0,0.5879577398300171,1,1,high
mild,0,0.4890141487121582,1,1,low
mild,0,0.5103408694267273,1,1,mid
mild,0,0.589070200920105,1,1,high
