bb_idx,MT_Repitope,WT_Repitope
822,0.38672,0.35216
823,0.38672,0.35216
824,0.38672,0.35216
825,0.38672,0.35216
826,0.38672,0.35216
827,0.38672,0.35216
828,0.3116,0.25152
829,0.3116,0.25152
830,0.3116,0.25152
831,0.3116,0.25152
832,0.3116,0.25152
833,0.3116,0.25152
834,0.24352,0.26176
835,0.24352,0.26176
836,0.24352,0.26176
837,0.24352,0.26176
838,0.24352,0.26176
839,0.24352,0.26176
840,0.23416,0.2496
841,0.23416,0.2496
842,0.23416,0.2496
843,0.23416,0.2496
844,0.23416,0.2496
845,0.23416,0.2496
846,0.23128,0.24648
847,0.23128,0.24648
848,0.23128,0.24648
849,0.23128,0.24648
850,0.23128,0.24648
851,0.23128,0.24648
852,0.21984,0.25136
853,0.21984,0.25136
854,0.21984,0.25136
855,0.21984,0.25136
856,0.21984,0.25136
857,0.21984,0.25136
858,0.22352,0.2292
859,0.22352,0.2292
860,0.22352,0.2292
861,0.22352,0.2292
862,0.22352,0.2292
863,0.22352,0.2292
864,0.38824,0.31944
865,0.38824,0.31944
866,0.38824,0.31944
867,0.38824,0.31944
868,0.38824,0.31944
869,0.38824,0.31944
870,0.48224,0.39368
871,0.48224,0.39368
872,0.48224,0.39368
873,0.48224,0.39368
874,0.48224,0.39368
875,0.48224,0.39368
876,0.47064,0.38952
877,0.47064,0.38952
878,0.47064,0.38952
879,0.47064,0.38952
880,0.47064,0.38952
881,0.47064,0.38952
882,0.4496,0.37328
883,0.4496,0.37328
884,0.4496,0.37328
885,0.4496,0.37328
886,0.4496,0.37328
887,0.4496,0.37328
888,0.43464,0.32416
889,0.43464,0.32416
890,0.43464,0.32416
891,0.43464,0.32416
892,0.43464,0.32416
893,0.43464,0.32416
894,0.43968,0.35392
895,0.43968,0.35392
896,0.43968,0.35392
897,0.43968,0.35392
898,0.43968,0.35392
899,0.43968,0.35392
900,0.4552,0.35928
901,0.4552,0.35928
902,0.4552,0.35928
903,0.4552,0.35928
904,0.4552,0.35928
905,0.4552,0.35928
906,0.46024,0.35504
907,0.46024,0.35504
908,0.46024,0.35504
909,0.46024,0.35504
910,0.46024,0.35504
911,0.46024,0.35504
912,0.33408,0.31464
913,0.33408,0.31464
914,0.33408,0.31464
915,0.33408,0.31464
916,0.33408,0.31464
917,0.33408,0.31464
918,0.33312,0.32376
919,0.33312,0.32376
920,0.33312,0.32376
921,0.33312,0.32376
922,0.33312,0.32376
923,0.33312,0.32376
924,0.24568,0.276
925,0.24568,0.276
926,0.24568,0.276
927,0.24568,0.276
928,0.24568,0.276
929,0.24568,0.276
930,0.25296,0.30792
931,0.25296,0.30792
932,0.25296,0.30792
933,0.25296,0.30792
934,0.25296,0.30792
935,0.25296,0.30792
936,0.28032,0.2856
937,0.28032,0.2856
938,0.28032,0.2856
939,0.28032,0.2856
940,0.28032,0.2856
941,0.28032,0.2856
942,0.31664,0.31888
943,0.31664,0.31888
944,0.31664,0.31888
945,0.31664,0.31888
946,0.31664,0.31888
947,0.31664,0.31888
948,0.29032,0.3232
949,0.29032,0.3232
950,0.29032,0.3232
951,0.29032,0.3232
952,0.29032,0.3232
953,0.29032,0.3232
954,0.2752,0.29584
955,0.2752,0.29584
956,0.2752,0.29584
957,0.2752,0.29584
958,0.2752,0.29584
959,0.2752,0.29584
960,0.39528,0.34896
961,0.39528,0.34896
962,0.39528,0.34896
963,0.39528,0.34896
964,0.39528,0.34896
965,0.39528,0.34896
966,0.39928,0.37288
967,0.39928,0.37288
968,0.39928,0.37288
969,0.39928,0.37288
970,0.39928,0.37288
971,0.39928,0.37288
972,0.51904,0.46904
973,0.51904,0.46904
974,0.51904,0.46904
975,0.51904,0.46904
976,0.51904,0.46904
977,0.51904,0.46904
978,0.49088,0.46424
979,0.49088,0.46424
980,0.49088,0.46424
981,0.49088,0.46424
982,0.49088,0.46424
983,0.49088,0.46424
984,0.50136,0.42392
985,0.50136,0.42392
986,0.50136,0.42392
987,0.50136,0.42392
988,0.50136,0.42392
989,0.50136,0.42392
990,0.39032,0.39824
991,0.39032,0.39824
992,0.39032,0.39824
993,0.39032,0.39824
994,0.39032,0.39824
995,0.39032,0.39824
996,0.40344,0.39456
997,0.40344,0.39456
998,0.40344,0.39456
999,0.40344,0.39456
1000,0.40344,0.39456
