bb_idx,MT_CNNeo,WT_CNNeo
387,0.4592083,0.4592083
388,0.44653413,0.44653413
389,0.5775014,0.5775014
390,0.55350554,0.55350554
391,0.56584024,0.56584024
392,0.49931547,0.49931547
393,0.56381035,0.56381035
394,0.56381035,0.56381035
395,0.5273877,0.5273877
396,0.46218204,0.46218204
397,0.5775014,0.5775014
398,0.5775014,0.5775014
399,0.53800195,0.53800195
400,0.54381615,0.54381615
401,0.4989475,0.4989475
402,0.6201416,0.6201416
403,0.5536214,0.5536214
404,0.48993462,0.48993462
405,0.5021761,0.5021761
406,0.4921113,0.5273877
407,0.5021761,0.5021761
408,0.6095966,0.6095966
409,0.5456148,0.5456148
410,0.60333425,0.60333425
411,0.5013415,0.5013415
412,0.4921113,0.4921113
413,0.5834417,0.5834417
414,0.5384619,0.5384619
415,0.60333425,0.60333425
416,0.5013415,0.5013415
417,0.5259942,0.5259942
418,0.4618486,0.4618486
419,0.4565332,0.4565332
420,0.49931547,0.49931547
421,0.46219274,0.46219274
422,0.4921113,0.4921113
423,0.5273877,0.5273877
424,0.46219274,0.46219274
425,0.5259942,0.5259942
426,0.37513438,0.37513438
427,0.45035413,0.45035413
428,0.50250226,0.50250226
429,0.5623969,0.5623969
430,0.40950018,0.45035413
431,0.22673103,
432,0.5021761,
433,0.7297928,
434,0.80317223,
435,0.8956665,
436,0.9010699,
437,0.22673103,
438,0.5021761,
439,0.7297928,
440,0.80317223,
441,0.8956665,
442,0.9010699,
443,0.3093605,
444,0.5775014,
445,0.787862,
446,0.7835125,
447,0.87592095,
448,0.92877996,
449,0.22673103,
450,0.5021761,
451,0.7297928,
452,0.80317223,
453,0.8956665,
454,0.9010699,
455,0.22673103,
456,0.5021761,
457,0.7297928,
458,0.80317223,
459,0.8956665,
460,0.9010699,
461,0.3093605,
462,0.5775014,
463,0.787862,
464,0.81097955,
465,0.89748585,
466,0.92877996,
467,0.3093605,
468,0.5775014,
469,0.787862,
470,0.81097955,
471,0.89748585,
472,0.92877996,
473,0.24353816,
474,0.5273877,
475,0.75255466,
476,0.8029263,
477,0.89254177,
478,0.91409117,
479,0.22673103,
480,0.5021761,
481,0.7297928,
482,0.80317223,
483,0.8956665,
484,0.9010699,
485,0.22673103,
486,0.5021761,
487,0.7297928,
488,0.80317223,
489,0.8956665,
490,0.9010699,
491,0.3093605,
492,0.5775014,
493,0.787862,
494,0.8265536,
495,0.90507025,
496,0.92877996,
497,0.20477198,
498,0.4921113,
499,0.7241483,
500,0.84932166,
501,0.9210807,
502,0.90135294,
503,0.3093605,
504,0.5775014,
505,0.787862,
506,0.8265536,
507,0.90507025,
508,0.92877996,
509,0.20477198,
510,0.4921113,
511,0.7241483,
512,0.84932166,
513,0.9210807,
514,0.90135294,
515,0.515204,0.515204
516,0.46219274,0.46219274
517,0.5273877,0.5273877
518,0.4339828,0.4339828
519,0.5456148,0.5456148
520,0.54381615,0.54381615
521,0.5616923,0.5616923
522,0.5419277,0.5419277
523,0.56381035,0.56381035
524,0.5021761,0.5021761
525,0.50250226,0.50250226
526,0.26322576,
527,0.5419277,
528,0.7615025,
529,0.82666177,
530,0.90689254,
531,0.91786945,
532,0.17919773,
533,0.46219274,
534,0.69745886,
535,0.77547437,
536,0.87342876,
537,0.8882149,
538,0.19447282,
539,0.4558419,
540,0.68483174,
541,0.77547437,
542,0.87342876,
543,0.8765366,
544,0.2125203,
545,0.50250226,
546,0.7333334,
547,0.8240003,
548,0.9073143,
549,0.9065238,
550,0.34679395,
551,0.58756256,
552,0.78903276,
553,0.8181808,
554,0.90295285,
555,0.92542917,
556,0.17068574,
557,0.44539493,
558,0.6813914,
559,0.83566797,
560,0.91394585,
561,0.87911063,
562,0.2125203,
563,0.50250226,
564,0.7333334,
565,0.8240003,
566,0.9073143,
567,0.9065238,
568,0.2013866,
569,0.46218204,
570,0.6901149,
571,0.8368138,
572,0.9147188,
573,0.87855864,
574,0.3093605,
575,0.5775014,
576,0.787862,
577,0.81097955,
578,0.89748585,
579,0.92877996,
580,0.4515613,
581,0.6517024,
582,0.8292124,
583,0.81097955,
584,0.89748585,
585,0.9411598,
586,0.37088183,
587,0.60333425,
588,0.8006776,
589,0.85438585,
590,0.92305243,
591,0.93030703,
592,0.1498358,
593,0.4099366,
594,0.6448975,
595,0.8368138,
596,0.9147188,
597,0.8555582,
598,0.15232308,
599,0.41164622,
600,0.6479911,
601,0.83566797,
602,0.91394585,
603,0.85803753,
604,0.36971694,
605,0.6053038,
606,0.7993318,
607,0.83937013,
608,0.91612947,
609,0.92993,
610,0.2125203,
611,0.50250226,
612,0.7333334,
613,0.8240003,
614,0.9073143,
615,0.9065238,
616,0.28833213,
617,0.56381035,
618,0.77850074,
619,0.8181808,
620,0.90295285,
621,0.9252421,
622,0.20477198,
623,0.4921113,
624,0.7241483,
625,0.84932166,
626,0.9210807,
627,0.90135294,
628,0.16905983,
629,0.43029016,
630,0.6616023,
631,0.84932166,
632,0.9210807,
633,0.86481327,
634,0.26322576,
635,0.5419277,
636,0.7615025,
637,0.82666177,
638,0.90689254,
639,0.91786945,
640,0.20920116,
641,0.7321427,
642,0.9057066,
643,0.20477198,
644,0.7241483,
645,0.90135294,
646,0.22673103,
647,0.7297928,
648,0.9010699,
649,0.22673103,
650,0.7297928,
651,0.9010699,
652,0.2950489,
653,0.7773232,
654,0.92396766,
655,0.20477198,
656,0.7241483,
657,0.90135294,
658,0.20477198,
659,0.7241483,
660,0.90135294,
661,0.3555017,
662,0.7806248,
663,0.9188784,
664,0.22427633,
665,0.72649133,
666,0.8994319,
667,0.20920116,
668,0.7321427,
669,0.9057066,
670,0.16612506,
671,0.6856491,
672,0.8811877,
673,0.16905983,
674,0.6616023,
675,0.86481327,
676,0.20477198,
677,0.7241483,
678,0.90135294,
679,0.20477198,
680,0.7241483,
681,0.90135294,
682,0.3555017,
683,0.7806248,
684,0.9188784,
685,0.22427633,
686,0.72649133,
687,0.8994319,
688,0.20920116,
689,0.7321427,
690,0.9057066,
691,0.16612506,
692,0.6856491,
693,0.8811877,
694,0.16905983,
695,0.6616023,
696,0.86481327,
697,0.24353816,
698,0.75255466,
699,0.91409117,
700,0.21486793,
701,0.7315713,
702,0.90512043,
703,0.22673103,
704,0.7297928,
705,0.9010699,
706,0.34192416,
707,0.78792447,
708,0.92579466,
709,0.26322576,
710,0.7615025,
