sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
vindr_b4f234b4fe3aa3545d27b78c28e0a193.png,VinDr,,False,94.76437377929688,16,0.01,16,False
vindr_2895e73af0ca994488b68383dc8e603d.png,VinDr,,False,94.34750366210938,16,0.01,16,False
vindr_373bd5fc47c8eabdefd4c313121c1d42.png,VinDr,,False,101.56668090820312,16,0.01,16,False
vindr_7b87ff45f630da27a103b7e587bc6fd1.png,VinDr,,False,92.57867431640625,16,0.01,16,False
vindr_256814005e5307c907a55bc956a48f07.png,VinDr,,False,101.22371673583984,16,0.01,16,False
vindr_e90db56298e487ff745597c64425fc1c.png,VinDr,,False,106.4255599975586,16,0.01,16,False
vindr_ddeb40737928ae87d4f71257d5b29c3d.png,VinDr,,False,105.07764434814453,16,0.01,16,False
vindr_942048b3178effeff6507cef798d67e0.png,VinDr,,False,100.51467895507812,16,0.01,16,False
vindr_e6df9b3fba3fb8745fe06fe9fb84ecfe.png,VinDr,,False,98.92124938964844,16,0.01,16,False
vindr_a6e5fcb1b8906420a2d8e88f5b4776f7.png,VinDr,,False,110.40013885498047,16,0.01,16,False
vindr_365ae7b271924534769e2b3a9d737d2f.png,VinDr,,False,99.01897430419922,16,0.01,16,False
vindr_c837c5bfbeedca68690f51b2e07aaabd.png,VinDr,,False,96.49603271484375,16,0.01,16,False
vindr_3f13a6327a73f13a2968b3f6701b31a3.png,VinDr,,False,110.40166473388672,16,0.01,16,False
vindr_34fda0402fb015bab250aa7b3f0372f1.png,VinDr,,False,96.0733642578125,16,0.01,16,False
vindr_8dc560b60321213566bdb9fa221a2749.png,VinDr,,False,95.0083999633789,16,0.01,16,False
vindr_b22cfecf48d9add94b1b8756fbd00db8.png,VinDr,,False,96.16485595703125,16,0.01,16,False
vindr_0db59846b8c385f7f0d8d1c084d3184e.png,VinDr,,False,100.27289581298828,16,0.01,16,False
vindr_f57005e525283ac4034b6229985a5092.png,VinDr,,False,94.27365112304688,16,0.01,16,False
vindr_1c3e88d7eb1849e80d109ab2f059a2e1.png,VinDr,,False,100.63103485107422,16,0.01,16,False
vindr_d10e71da7a99bfb313c8c2826eb90b9d.png,VinDr,,False,107.71165466308594,16,0.01,16,False
vindr_d0a9b6cb4429547efd197194f62ad486.png,VinDr,,False,88.52813720703125,16,0.01,16,False
vindr_039d7ffa518b105dabbeca84d7b7753c.png,VinDr,,False,102.48017883300781,16,0.01,16,False
vindr_a9f17d3eb4a8221c3ef0dd12bfec0ba0.png,VinDr,,False,104.60802459716797,16,0.01,16,False
vindr_340162a33a2a57d13809cb19d818c6d8.png,VinDr,,False,105.18209075927734,16,0.01,16,False
vindr_38e987ce7d99adc13adeebb0ca3e3182.png,VinDr,,False,107.88922882080078,16,0.01,16,False
vindr_924e69559651654e67727eb1d8ca1b7a.png,VinDr,,False,102.3477554321289,16,0.01,16,False
vindr_0bdadb23e846f9c247d3ea571f63913d.png,VinDr,,False,101.50676727294922,16,0.01,16,False
vindr_723f93a3f0e3905c498839d23b961631.png,VinDr,,False,102.48909759521484,16,0.01,16,False
vindr_a3106645d9ff642b102c1fae08356865.png,VinDr,,False,99.98475646972656,16,0.01,16,False
vindr_d7eb94980cc0b411e02e7e792f686eef.png,VinDr,,False,109.54010009765625,16,0.01,16,False
vindr_f0b8c0d06a7cccc003f214b216673324.png,VinDr,,False,102.40740966796875,16,0.01,16,False
vindr_e345cc1bc62b3ad7f37e7fbb540311f0.png,VinDr,,False,109.01026916503906,16,0.01,16,False
vindr_c2fafca7a6e8316c8bc0a3dc400b8aba.png,VinDr,,False,99.06214904785156,16,0.01,16,False
vindr_40b9a833fd7bc494e9803286d9349ca6.png,VinDr,,False,103.08264923095703,16,0.01,16,False
vindr_e00f5ae6a44a3cb881882f8c1f19cf01.png,VinDr,,False,97.659912109375,16,0.01,16,False
